"trial","ref_position","var_area","response","correct","rt"
1,"R",12.7957731876522,"R",FALSE,2.69599986076355
2,"R",10.470345757436,"R",FALSE,5.48199987411499
3,"R",9.19839791045524,"L",TRUE,1.18300008773804
4,"R",12.4159486494027,"L",TRUE,1.08699989318848
5,"L",10.3974682400003,"R",TRUE,3.08800005912781
6,"L",14.8648840372916,"R",TRUE,1.38800001144409
7,"R",12.6113561412785,"L",TRUE,0.88100004196167
8,"L",8.32744360715151,"R",FALSE,0.66700005531311
9,"L",11.7838372029364,"L",FALSE,0.573999881744385
10,"R",14.6032313234173,"R",FALSE,0.581000089645386
11,"L",14.5397066627629,"L",FALSE,0.679999828338623
12,"L",9.16567217395641,"R",TRUE,0.789999961853027
13,"R",13.0721222290304,"L",TRUE,1.18900012969971
14,"L",13.3420200864784,"R",TRUE,0.772000074386597
15,"L",11.1263971221633,"L",FALSE,1.0990002155304
16,"R",12.0466297406238,"R",FALSE,0.684999942779541
17,"R",9.42972485814244,"L",TRUE,0.871000051498413
18,"R",13.4995613058563,"R",FALSE,0.679999828338623
19,"L",9.18909492925741,"R",TRUE,0.66700005531311